time,close,high,low,open,volumefrom,volumeto
2020-05-27 05:00:00,8878.0,8881.69,8855.35,8859.62,1619.33,14358451.16
2020-05-27 06:00:00,8846.37,8887.75,8831.82,8878.0,1473.18,13040656.09
2020-05-27 07:00:00,8844.28,8862.5,8829.4,8846.37,1618.07,14317859.02
2020-05-27 08:00:00,8930.0,8955.0,8844.0,8844.28,4527.56,40368189.64
2020-05-27 09:00:00,8923.57,8940.0,8902.91,8930.0,2475.39,22088502.82
2020-05-27 10:00:00,9128.0,9170.0,8918.51,8923.57,9556.04,86674763.07
2020-05-27 11:00:00,9150.74,9160.0,9107.15,9128.0,4828.1,44086078.66
2020-05-27 12:00:00,9145.0,9190.0,9125.32,9150.74,5395.87,49440210.95
2020-05-27 13:00:00,9147.25,9182.99,9126.03,9145.0,4421.48,40480242.96
2020-05-27 14:00:00,9153.02,9169.89,9120.0,9147.25,3255.38,29758646.92
2020-05-27 15:00:00,9148.0,9225.0,9125.1,9153.02,5192.79,47613795.94
2020-05-27 16:00:00,9170.24,9196.73,9135.88,9148.0,2347.2,21526837.28
2020-05-27 17:00:00,9189.65,9218.92,9163.45,9170.24,3001.41,27573943.52
2020-05-27 18:00:00,9169.48,9199.12,9159.79,9189.65,1558.28,14297565.82
2020-05-27 19:00:00,9159.99,9172.36,9137.71,9169.48,1465.59,13416491.73
2020-05-27 20:00:00,9165.21,9176.0,9154.87,9159.99,1172.32,10745263.75
2020-05-27 21:00:00,9069.71,9168.38,9052.39,9165.21,3308.11,30108966.46
2020-05-27 22:00:00,9104.01,9130.0,9052.32,9069.71,1804.58,16426095.36
2020-05-27 23:00:00,9204.07,9205.42,9095.0,9104.01,2474.53,22677147.55
2020-05-28 00:00:00,9266.45,9280.78,9163.57,9204.07,3586.67,33032409.4
2020-05-28 01:00:00,9217.9,9279.8,9215.43,9266.45,2582.01,23857513.55
2020-05-28 02:00:00,9204.37,9232.6,9158.47,9217.9,1737.06,15975978.32
2020-05-28 03:00:00,9172.91,9205.74,9155.67,9204.37,1138.65,10454068.69
2020-05-28 04:00:00,9181.91,9201.72,9134.83,9172.91,1617.85,14846495.15
2020-05-28 05:00:00,9167.75,9181.92,9120.01,9181.91,1730.19,15838137.34
2020-05-28 06:00:00,9170.56,9179.85,9147.0,9167.75,1493.28,13683622.42
2020-05-28 07:00:00,9150.44,9182.94,9126.36,9170.56,1682.42,15403479.45
2020-05-28 08:00:00,9190.33,9191.9,9110.0,9150.44,1964.34,17988014.55
2020-05-28 09:00:00,9202.41,9205.92,9174.13,9190.33,2086.65,19172983.84
2020-05-28 10:00:00,9166.9,9204.98,9163.02,9202.41,1366.88,12551857.75
2020-05-28 11:00:00,9266.89,9280.0,9156.16,9166.9,3988.71,36835825.59
2020-05-28 12:00:00,9423.62,9440.0,9251.65,9266.89,9298.35,86962041.96
2020-05-28 13:00:00,9411.51,9452.09,9375.86,9423.62,4999.98,47032583.0
2020-05-28 14:00:00,9466.65,9498.21,9410.03,9411.51,5906.16,55854530.54
2020-05-28 15:00:00,9499.81,9518.0,9435.0,9466.65,4872.71,46190323.25
2020-05-28 16:00:00,9447.78,9537.8,9434.0,9499.81,4365.42,41350291.89
2020-05-28 17:00:00,9466.11,9476.73,9441.67,9447.78,2156.58,20400719.58
2020-05-28 18:00:00,9425.97,9480.0,9424.39,9466.11,2120.8,20045240.77
2020-05-28 19:00:00,9452.25,9480.0,9391.38,9425.97,2519.93,23801807.39
2020-05-28 20:00:00,9450.18,9459.59,9423.68,9452.25,1667.96,15753464.8
2020-05-28 21:00:00,9436.75,9485.67,9410.01,9450.18,1501.9,14177713.01
2020-05-28 22:00:00,9490.03,9552.71,9434.98,9436.75,4398.73,41747571.44
2020-05-28 23:00:00,9575.89,9625.47,9485.0,9490.03,5327.54,50973432.49
2020-05-29 00:00:00,9512.59,9605.26,9500.0,9575.89,3951.43,37761956.31
2020-05-29 01:00:00,9515.03,9537.32,9461.07,9512.59,3829.79,36374723.39
2020-05-29 02:00:00,9504.45,9539.39,9494.0,9515.03,1518.65,14451201.97
2020-05-29 03:00:00,9521.26,9535.0,9490.84,9504.45,2122.47,20185247.23
2020-05-29 04:00:00,9500.49,9545.0,9496.38,9521.26,1638.93,15602066.21
2020-05-29 05:00:00,9520.0,9535.33,9471.99,9500.49,1683.14,16002080.06
2020-05-29 06:00:00,9515.38,9553.47,9508.73,9520.0,1999.19,19054883.36
2020-05-29 07:00:00,9523.5,9542.92,9507.19,9515.38,2320.71,22101531.08
2020-05-29 08:00:00,9450.8,9593.69,9420.38,9523.5,6078.92,57707615.09
2020-05-29 09:00:00,9445.0,9479.0,9437.18,9450.8,2437.31,23055418.61
2020-05-29 10:00:00,9365.0,9472.0,9356.0,9445.0,4393.81,41348746.66
2020-05-29 11:00:00,9403.87,9420.0,9335.0,9365.0,4127.03,38748812.15
2020-05-29 12:00:00,9398.18,9454.26,9372.18,9403.87,2276.69,21446182.63
2020-05-29 13:00:00,9438.32,9448.6,9385.12,9398.18,1581.29,14894421.94
2020-05-29 14:00:00,9445.07,9478.0,9420.01,9438.32,1905.5,18002571.13
2020-05-29 15:00:00,9412.0,9449.49,9330.0,9445.07,2733.68,25662154.02
2020-05-29 16:00:00,9434.3,9447.59,9394.79,9412.0,2396.28,22588801.28
2020-05-29 17:00:00,9427.05,9457.69,9410.3,9434.3,2373.04,22389523.09
2020-05-29 18:00:00,9435.05,9443.0,9393.29,9427.05,2517.32,23708499.77
2020-05-29 19:00:00,9425.02,9435.05,9422.37,9435.05,95.44,899780.04
