time,high,low,open,volumefrom,volumeto,close
2017-07-05 08:00:00,2515.66,2478.93,2488.71,5.752,14396.65,2507.55
2017-07-05 07:00:00,2517.84,2461.44,2502.6,2.308,5749.0,2488.71
2017-07-05 06:00:00,2519.47,2499.74,2518.96,1.513,3799.71,2502.6
2017-07-05 05:00:00,2533.55,2480.65,2490.62,1.904,4780.99,2518.96
2017-07-05 04:00:00,2538.23,2485.96,2532.33,6.485,16425.7,2490.62
2017-07-05 03:00:00,2538.98,2516.07,2516.07,1.598,4042.01,2532.33
2017-07-05 02:00:00,2551.15,2516.07,2537.9,1.602,4058.4,2516.07
2017-07-05 01:00:00,2559.65,2509.21,2539.19,1.921,4872.75,2537.9
2017-07-05 00:00:00,2559.66,2539.04,2549.08,3.318,8460.8,2539.19
2017-07-04 23:00:00,2549.8,2535.56,2537.4,5.29,13477.02,2549.08
2017-07-04 22:00:00,2549.99,2521.78,2536.98,2.319,5892.68,2537.4
2017-07-04 21:00:00,2539.93,2514.55,2525.89,4.0,10143.38,2536.98
2017-07-04 20:00:00,2543.99,2513.17,2543.99,2.22,5616.02,2525.89
2017-07-04 19:00:00,2568.32,2524.76,2550.12,3.603,9164.07,2543.99
2017-07-04 18:00:00,2550.12,2498.19,2522.71,2.167,5480.61,2550.12
2017-07-04 17:00:00,2554.83,2498.17,2534.01,3.258,8235.39,2522.71
2017-07-04 16:00:00,2599.77,2473.66,2598.8,4.326,11054.67,2534.01
2017-07-04 15:00:00,2599.99,2581.07,2589.99,7.915,20490.7,2598.8
2017-07-04 14:00:00,2599.99,2574.2,2593.72,2.024,5237.04,2589.99
2017-07-04 13:00:00,2604.78,2569.94,2571.58,3.808,9836.07,2593.72
2017-07-04 12:00:00,2594.04,2552.78,2564.31,2.68,6902.92,2571.58
2017-07-04 11:00:00,2573.97,2552.25,2567.25,2.943,7550.67,2564.31
2017-07-04 10:00:00,2591.18,2550.16,2575.49,1.728,4434.89,2567.25
2017-07-04 09:00:00,2587.22,2565.8,2587.06,1.692,4359.66,2575.49
2017-07-04 08:00:00,2604.76,2550.09,2600.89,12.12,30988.55,2587.06
